,nox_emissions
1328,127.16438692403482
1329,127.16438692403482
1330,127.16438692403482
1331,127.16438692403482
1332,127.16438692403482
1333,127.16438692403482
1334,127.16438692403482
1335,127.16438692403482
1336,127.16438692403482
1337,127.16438692403482
1338,127.16438692403482
1339,127.16438692403482
1340,127.16438692403482
1341,127.16438692403482
1342,127.16438692403482
1343,127.16438692403482
1344,127.16438692403482
1345,127.16438692403482
1346,127.16438692403482
1347,127.16438692403482
1348,127.16438692403482
1349,127.16438692403482
1350,127.16438692403482
1351,127.16438692403482
1352,127.16438692403482
1353,127.16438692403482
1354,127.16438692403482
1355,127.16438692403482
1356,127.16438692403482
1357,127.16438692403482
1358,127.16438692403482
1359,127.16438692403482
1360,127.16438692403482
1361,127.16438692403482
1362,127.16438692403482
1363,127.16438692403482
1364,127.16438692403482
1365,127.16438692403482
1366,127.16438692403482
1367,127.16438692403482
1368,127.16438692403482
1369,127.16438692403482
1370,127.16438692403482
1371,19.0
1372,18.0
1373,127.16438692403482
1374,127.16438692403482
1375,127.16438692403482
1376,30.0
1377,30.0
1378,70.0
1379,70.0
1380,70.0
1381,50.0
1382,50.0
1383,70.0
1384,50.0
1385,430.0
1386,430.0
1387,127.16438692403482
1388,127.16438692403482
1389,127.16438692403482
1390,127.16438692403482
1391,127.16438692403482
1392,127.16438692403482
1393,10.0
1394,60.0
1395,60.0
1396,60.0
1397,60.0
1398,127.16438692403482
1399,20.0
1400,90.0
1401,50.0
1402,30.0
1403,40.0
1404,20.0
1405,20.0
1406,40.0
1407,50.0
1408,40.0
1409,50.0
1410,51.0
1411,32.0
1412,127.16438692403482
1413,127.16438692403482
1414,127.16438692403482
1415,127.16438692403482
1416,127.16438692403482
1417,127.16438692403482
1418,127.16438692403482
1419,127.16438692403482
1420,127.16438692403482
1421,127.16438692403482
1422,127.16438692403482
1423,127.16438692403482
1424,127.16438692403482
1425,127.16438692403482
1426,127.16438692403482
1427,127.16438692403482
1428,127.16438692403482
1429,127.16438692403482
1430,127.16438692403482
1431,127.16438692403482
1432,127.16438692403482
1433,127.16438692403482
1434,127.16438692403482
1435,127.16438692403482
1436,127.16438692403482
1437,127.16438692403482
1438,127.16438692403482
1439,127.16438692403482
1440,127.16438692403482
1441,127.16438692403482
1442,127.16438692403482
1443,127.16438692403482
1444,127.16438692403482
1445,127.16438692403482
1446,127.16438692403482
1447,127.16438692403482
1448,127.16438692403482
1449,127.16438692403482
1450,127.16438692403482
1451,127.16438692403482
1452,127.16438692403482
1453,127.16438692403482
1454,127.16438692403482
1455,127.16438692403482
1456,127.16438692403482
1457,127.16438692403482
1458,127.16438692403482
1459,127.16438692403482
1460,127.16438692403482
1461,127.16438692403482
1462,127.16438692403482
1463,127.16438692403482
1464,127.16438692403482
1465,127.16438692403482
1466,127.16438692403482
1467,127.16438692403482
1468,127.16438692403482
1469,127.16438692403482
1470,127.16438692403482
1471,127.16438692403482
1472,127.16438692403482
1473,127.16438692403482
1474,127.16438692403482
1475,127.16438692403482
1476,127.16438692403482
1477,127.16438692403482
1478,127.16438692403482
1479,127.16438692403482
1480,127.16438692403482
1481,127.16438692403482
1482,127.16438692403482
1483,127.16438692403482
1484,127.16438692403482
1485,127.16438692403482
1486,127.16438692403482
1487,127.16438692403482
1488,127.16438692403482
1489,127.16438692403482
1490,127.16438692403482
